trait_coding_logic,trait_visual_creativity,trait_math_analytical,trait_leadership_strategy,trait_physical_mechanical,trait_empathy_caregiving,trait_writing_argument,trait_teaching_mentoring,trait_scientific_inquiry,trait_risk_operations,career_category
8.29,1.92,4.42,0.56,0.56,0.68,1.31,0.33,2.59,2.16,Developer
2.1,4.07,3.08,3.8,3.59,6.21,5.76,7.62,3.96,2.01,Educator
4.0,2.55,7.12,3.64,1.53,0.86,3.03,1.2,3.34,4.0,Analyst
3.82,2.21,5.36,1.3,2.53,3.01,6.58,2.5,7.05,4.85,Researcher
2.37,0.69,3.14,7.35,0.92,2.58,8.05,2.89,3.61,4.11,Lawyer
3.22,1.34,3.97,4.89,0.0,4.32,8.28,4.07,5.54,4.52,Lawyer
1.03,1.59,3.95,3.35,7.82,3.34,1.12,6.24,3.75,1.73,Sports Professional
6.61,1.2,6.1,2.02,1.52,0.88,3.27,1.06,3.86,1.97,Developer
3.41,1.33,5.35,0.0,7.05,1.03,1.88,3.78,4.02,3.48,Engineer
4.4,1.86,6.54,2.53,9.32,0.81,2.63,2.01,2.25,2.53,Engineer
3.68,0.57,6.4,3.08,5.88,0.12,2.07,1.87,3.97,2.87,Engineer
2.52,6.64,2.17,2.41,3.04,0.81,1.35,1.19,0.8,2.7,Designer
3.08,2.91,4.82,2.08,2.15,2.45,3.86,4.44,9.13,1.35,Researcher
7.46,2.12,4.99,1.8,0.0,1.68,1.63,0.48,2.59,3.13,Developer
0.0,1.62,3.21,8.02,1.44,2.05,6.92,3.41,4.9,4.55,Lawyer
2.37,9.42,0.33,1.54,0.0,1.53,2.74,3.43,2.11,2.44,Designer
0.91,1.09,2.72,4.7,8.73,3.44,0.46,3.75,3.49,3.21,Sports Professional
2.39,1.35,6.13,2.49,6.39,0.68,0.77,2.53,3.45,2.66,Engineer
5.2,1.33,5.46,0.98,1.6,2.63,6.99,3.29,9.17,3.26,Researcher
1.08,1.29,2.73,4.55,7.06,5.17,3.49,6.7,1.69,1.75,Sports Professional
1.93,2.49,2.73,8.72,0.74,1.65,5.9,4.97,2.83,7.72,Manager
1.63,3.11,2.67,5.38,1.79,1.66,8.35,3.35,4.41,7.19,Lawyer
0.0,0.55,2.47,6.13,1.92,3.12,6.94,3.17,4.57,4.76,Lawyer
2.0,2.11,1.95,3.0,1.67,6.56,5.16,9.04,4.33,1.26,Educator
2.7,1.54,1.66,4.76,8.81,4.13,0.99,4.41,2.2,2.79,Sports Professional
2.48,1.16,2.42,9.94,1.96,2.53,4.07,4.75,0.67,6.64,Manager
1.18,2.68,2.58,4.72,5.66,4.06,2.76,6.36,1.57,0.84,Sports Professional
2.0,2.41,3.97,1.86,2.47,7.86,3.48,2.51,6.33,2.7,Healthcare Professional
2.12,1.86,2.74,8.22,2.54,2.7,3.67,3.65,2.13,7.29,Manager
0.0,2.53,1.23,4.32,1.63,6.11,3.55,8.93,3.43,1.44,Educator
2.51,0.68,0.4,7.11,1.39,2.95,7.02,2.59,5.54,5.22,Lawyer
8.05,2.64,4.97,1.7,1.64,0.0,3.04,1.2,3.38,3.08,Developer
2.41,4.11,2.91,9.01,0.29,2.32,4.66,4.04,2.08,7.32,Manager
3.49,3.02,2.94,6.94,1.86,1.09,4.98,4.8,2.47,6.27,Manager
3.88,2.98,6.68,2.73,2.24,4.23,5.32,4.57,8.52,3.55,Researcher
2.0,0.54,2.26,1.26,2.7,7.27,2.51,4.9,7.23,2.47,Healthcare Professional
0.02,0.93,1.57,3.73,7.75,3.57,1.32,3.18,2.58,1.82,Sports Professional
7.46,3.11,4.49,1.84,1.15,1.44,2.26,3.71,2.43,1.52,Developer
1.19,0.95,2.2,6.03,7.27,3.24,1.98,4.46,1.94,3.14,Sports Professional
2.04,6.72,2.42,1.17,1.09,1.76,1.8,1.95,0.64,2.07,Designer
2.51,1.91,5.5,1.48,6.84,1.59,3.48,2.68,4.68,3.88,Engineer
1.02,1.45,3.8,3.43,2.63,6.75,2.63,3.72,7.32,2.66,Healthcare Professional
0.0,0.66,3.18,3.56,6.82,1.97,2.98,3.87,0.75,1.74,Sports Professional
1.14,1.13,2.49,5.94,1.7,2.46,7.45,3.91,4.69,4.4,Lawyer
0.38,0.84,1.16,4.32,8.42,2.7,0.52,4.92,3.15,1.91,Sports Professional
2.79,1.91,4.82,4.34,1.51,3.64,6.43,3.42,8.05,3.47,Researcher
4.35,0.48,5.5,1.72,2.0,3.39,4.71,2.47,9.32,2.95,Researcher
0.0,1.35,3.04,4.27,5.79,4.44,1.2,4.08,2.96,1.83,Sports Professional
3.83,1.26,8.73,2.52,1.51,2.86,0.88,3.15,3.55,4.89,Analyst
4.51,2.47,6.05,1.67,0.87,0.7,2.27,1.69,4.08,4.19,Analyst
0.71,1.15,3.33,3.7,1.14,4.99,6.13,7.12,3.02,2.69,Educator
3.05,2.75,5.6,2.76,7.29,1.39,1.12,2.17,2.92,1.62,Engineer
0.12,0.44,2.35,7.47,1.61,0.0,5.19,4.62,0.59,6.59,Manager
1.91,1.68,6.47,1.35,6.22,3.14,0.78,3.49,3.35,2.53,Engineer
4.04,2.78,8.46,2.42,1.62,0.53,4.24,3.93,3.97,2.62,Analyst
6.37,3.33,7.41,2.43,0.0,0.56,3.14,0.86,3.4,2.7,Developer
0.97,0.92,5.68,7.03,1.56,3.75,4.71,4.23,1.94,5.75,Manager
2.49,1.38,1.57,6.29,1.6,1.81,8.02,3.43,5.75,6.67,Lawyer
2.16,2.52,3.32,3.62,8.86,2.33,0.0,5.31,1.99,3.37,Sports Professional
0.99,1.0,3.31,7.75,0.0,0.67,7.76,4.43,4.55,3.95,Lawyer
0.49,0.86,3.14,2.72,1.32,7.78,2.99,4.86,4.56,2.23,Healthcare Professional
2.14,0.33,2.86,7.35,0.0,0.43,3.72,5.12,3.15,6.01,Manager
0.0,1.28,2.33,4.24,7.65,3.18,2.32,3.39,3.1,2.38,Sports Professional
0.55,0.0,3.36,5.16,0.97,2.34,7.15,2.13,6.78,4.96,Lawyer
7.64,2.5,5.89,2.57,1.85,0.0,0.0,2.34,1.77,1.8,Developer
2.93,9.78,2.86,3.95,0.67,0.76,1.43,2.4,2.16,1.36,Designer
1.84,3.14,1.72,4.97,8.76,2.89,1.35,4.63,1.45,1.87,Sports Professional
0.47,2.33,4.2,7.12,0.0,1.96,5.11,5.51,1.61,5.35,Manager
1.81,1.44,1.35,4.17,8.6,3.05,2.42,2.16,0.31,0.56,Sports Professional
3.55,3.31,4.87,2.73,8.26,1.0,0.55,2.35,3.45,2.86,Engineer
0.0,2.19,2.09,7.67,0.74,3.68,6.37,4.16,5.39,6.17,Lawyer
3.61,8.01,1.8,1.16,4.14,0.53,2.11,2.37,2.54,2.36,Designer
3.52,2.84,4.62,3.17,0.65,2.95,6.26,4.12,9.95,2.47,Researcher
2.83,1.6,2.32,1.99,2.83,7.42,2.84,2.96,6.06,1.93,Healthcare Professional
2.47,2.13,3.96,7.83,0.89,1.23,3.93,5.39,1.6,7.3,Manager
3.43,1.71,6.21,5.04,0.0,1.51,4.03,2.93,4.27,4.21,Analyst
2.62,2.29,4.88,8.32,0.53,3.16,4.24,4.14,2.25,7.5,Manager
3.98,1.23,5.87,1.57,3.2,2.05,4.73,2.75,2.83,4.16,Analyst
2.92,1.16,1.68,3.61,3.57,8.48,4.05,4.71,6.64,2.03,Healthcare Professional
0.07,2.47,4.47,8.95,1.27,1.31,2.47,5.44,0.38,6.19,Manager
1.2,1.9,4.81,7.74,1.51,2.25,4.21,4.78,0.26,6.28,Manager
6.94,2.86,5.94,1.73,0.5,0.4,1.98,2.56,3.49,1.67,Developer
5.05,1.19,4.84,2.03,0.22,1.81,5.96,2.63,5.96,5.01,Analyst
7.34,1.78,4.26,0.84,0.97,2.62,1.53,1.7,2.99,3.07,Developer
1.64,2.17,4.7,1.23,8.02,1.79,2.71,3.0,4.62,1.08,Engineer
7.6,3.1,6.93,0.39,2.92,0.0,1.86,2.03,3.25,1.44,Developer
8.46,3.04,7.57,0.17,2.13,2.03,1.12,2.41,3.3,1.8,Developer
5.3,2.22,4.11,1.24,2.83,3.12,4.1,2.06,8.02,3.55,Researcher
0.43,2.89,2.8,3.16,0.55,6.34,4.0,7.83,3.62,2.93,Educator
7.62,1.89,6.26,0.91,0.6,0.0,1.59,0.0,1.57,2.68,Developer
2.68,3.53,3.87,6.57,0.7,1.96,4.24,4.52,2.25,6.42,Manager
7.49,3.02,5.61,0.62,2.08,0.86,1.98,0.66,2.6,1.2,Developer
1.2,1.28,1.61,4.88,7.66,2.47,1.5,4.93,0.76,1.52,Sports Professional
8.14,1.49,4.12,2.65,1.3,0.33,3.4,1.6,4.06,2.06,Developer
0.79,0.0,3.16,6.34,0.11,2.02,9.39,4.54,3.16,4.92,Lawyer
1.96,1.92,4.41,5.66,0.0,3.58,8.18,3.75,5.19,6.14,Lawyer
2.64,2.41,0.69,5.83,0.91,6.18,5.15,9.27,4.63,2.17,Educator
3.11,3.01,6.95,2.77,8.12,0.87,1.93,2.1,2.82,2.49,Engineer
0.0,1.2,0.22,4.4,7.93,2.64,2.49,3.85,0.83,1.78,Sports Professional
4.22,2.65,6.23,2.03,1.55,3.24,5.34,3.93,7.5,0.95,Researcher
2.69,2.6,3.04,5.34,7.65,3.08,2.78,3.08,2.59,3.63,Sports Professional
1.02,3.48,2.87,4.13,0.23,6.53,3.9,6.71,3.39,1.37,Educator
1.56,3.31,2.74,2.25,1.53,7.1,2.61,4.27,6.18,2.49,Healthcare Professional
1.86,2.39,4.08,3.69,1.37,5.69,5.47,8.73,3.25,1.55,Educator
3.3,1.41,8.6,2.56,0.0,0.0,3.15,2.78,2.04,4.9,Analyst
0.0,3.57,3.61,5.11,1.12,5.76,4.62,9.26,2.5,1.82,Educator
1.15,1.2,3.03,7.3,1.65,1.63,3.26,4.18,1.31,5.66,Manager
4.52,2.59,4.62,2.72,3.37,2.78,6.78,4.27,7.74,3.18,Researcher
0.54,1.87,3.77,6.78,0.21,1.88,4.72,5.08,1.22,7.09,Manager
2.86,1.96,2.27,3.65,7.43,2.7,2.76,3.83,3.11,1.52,Sports Professional
3.35,1.52,3.33,6.5,1.85,1.3,3.56,4.77,1.04,6.34,Manager
2.48,8.28,1.1,2.47,2.28,1.65,3.54,0.9,2.42,0.45,Designer
0.0,1.1,1.86,4.57,6.47,2.82,1.94,3.74,1.52,1.85,Sports Professional
0.9,2.09,1.7,5.97,8.71,2.69,2.05,7.12,2.24,3.81,Sports Professional
3.15,0.67,2.5,6.6,0.15,2.29,3.49,6.37,3.71,6.49,Manager
1.92,1.23,3.42,6.1,0.07,0.98,8.53,4.98,6.78,5.84,Lawyer
3.55,3.34,6.21,3.68,5.7,0.83,3.48,2.86,4.69,2.99,Engineer
2.0,8.53,2.21,2.43,1.11,1.71,1.67,3.16,1.43,2.52,Designer
3.5,3.55,6.0,2.99,6.74,0.44,2.32,3.7,4.79,3.52,Engineer
2.28,2.62,2.22,8.03,1.28,1.77,3.2,5.12,1.12,8.42,Manager
2.47,2.63,2.66,4.66,1.44,5.38,4.91,6.98,2.93,1.26,Educator
2.78,2.48,2.39,4.21,1.31,5.06,4.77,6.59,3.12,1.6,Educator
1.4,2.22,2.22,4.8,8.82,3.74,1.98,4.33,2.02,2.13,Sports Professional
3.27,1.11,5.09,1.96,1.65,2.95,5.71,3.84,9.0,1.52,Researcher
2.5,2.52,6.22,2.86,7.7,1.46,1.48,1.15,5.71,2.73,Engineer
5.55,1.87,7.53,1.15,1.92,2.06,3.5,1.27,2.8,4.7,Analyst
5.24,2.96,6.42,2.83,6.31,2.74,2.43,2.65,1.91,3.7,Engineer
8.14,2.28,4.58,2.61,0.13,2.47,1.74,2.93,3.61,1.88,Developer
3.95,2.23,5.83,1.73,8.33,0.8,2.55,0.93,5.06,4.15,Engineer
8.61,2.09,5.46,1.55,1.76,0.0,1.45,1.69,4.08,1.56,Developer
3.66,2.29,4.28,1.98,8.12,2.29,0.96,0.96,3.53,1.13,Engineer
2.86,1.6,2.94,6.01,3.29,2.54,7.25,2.91,5.2,3.71,Lawyer
1.53,1.62,3.81,7.92,0.31,2.38,5.07,5.14,2.84,6.65,Manager
2.44,1.81,2.56,3.08,0.88,7.72,2.89,4.55,5.63,4.96,Healthcare Professional
1.92,2.13,3.64,6.81,0.61,4.03,5.11,3.17,0.0,6.57,Manager
6.89,2.14,7.29,0.75,0.5,0.87,2.76,1.69,1.84,1.52,Developer
3.1,3.35,8.92,2.52,2.19,1.0,1.32,1.32,5.06,3.16,Analyst
3.24,2.24,6.74,2.26,7.15,0.0,2.92,1.4,2.52,3.19,Engineer
1.95,3.94,6.36,2.62,8.83,1.13,2.2,2.12,4.01,2.56,Engineer
0.32,1.31,2.98,5.39,0.49,3.26,8.42,4.22,4.8,4.21,Lawyer
1.65,0.48,3.88,6.31,2.98,2.29,9.0,2.2,5.76,5.85,Lawyer
0.0,1.29,2.03,4.86,1.48,2.12,7.87,2.9,4.83,5.61,Lawyer
3.29,8.17,2.6,0.65,2.57,2.67,0.7,1.37,2.45,2.08,Designer
2.24,3.59,3.03,3.31,1.68,2.03,4.18,2.96,7.85,3.18,Researcher
2.41,2.84,4.03,0.86,1.27,2.16,5.82,3.58,6.54,3.89,Researcher
4.25,8.04,1.42,4.54,0.31,1.52,2.66,3.21,2.32,1.05,Designer
3.06,2.21,3.56,6.68,1.39,2.6,3.83,4.99,1.74,7.1,Manager
0.36,2.18,2.97,5.17,1.73,2.91,7.79,2.38,3.74,4.23,Lawyer
1.71,6.77,1.38,1.99,1.55,3.23,2.57,3.06,1.61,1.22,Designer
3.85,6.71,1.54,1.89,1.9,2.64,2.48,0.72,2.76,2.18,Designer
1.79,7.89,1.01,2.74,1.67,1.12,0.79,3.3,0.9,0.97,Designer
2.17,1.84,2.67,6.29,1.67,3.02,9.94,3.61,4.52,4.84,Lawyer
0.42,1.64,1.79,5.29,9.08,2.59,1.98,4.29,2.69,2.92,Sports Professional
5.0,1.84,8.35,2.9,0.45,2.7,1.78,1.92,4.37,3.85,Analyst
1.77,3.34,3.17,5.39,9.65,4.83,2.15,5.79,2.38,2.31,Sports Professional
2.85,2.89,2.21,4.38,0.97,7.13,5.41,8.34,3.55,1.17,Educator
0.0,1.54,2.62,4.7,1.79,9.76,2.07,5.72,6.46,3.01,Healthcare Professional
1.31,2.38,2.38,2.4,1.44,5.48,3.01,10.18,3.28,2.51,Educator
5.48,3.4,6.87,3.97,0.93,1.7,7.32,3.37,8.75,2.44,Researcher
1.43,8.52,1.9,1.83,0.81,3.0,2.16,2.63,0.31,2.56,Designer
4.83,2.5,4.89,2.31,6.57,0.4,1.73,1.16,2.8,3.07,Engineer
7.86,2.48,4.69,1.79,0.0,2.07,1.58,1.68,3.25,1.77,Developer
2.7,1.87,3.42,9.1,1.79,2.52,5.76,4.94,0.21,7.25,Manager
2.61,1.7,4.23,10.2,1.09,1.43,4.16,4.72,1.53,6.9,Manager
2.61,2.1,2.88,6.75,1.27,1.43,5.84,2.99,5.48,4.61,Lawyer
0.27,9.34,2.55,1.31,0.66,2.11,2.28,0.27,3.61,1.11,Designer
0.71,1.18,4.15,4.55,0.0,3.25,7.68,1.77,4.44,4.82,Lawyer
0.93,2.13,0.0,4.23,8.77,2.45,2.44,3.41,0.59,2.88,Sports Professional
1.58,3.2,2.58,5.6,1.9,3.41,8.14,6.5,4.25,3.86,Lawyer
2.38,1.66,3.78,2.23,0.3,9.51,2.49,4.44,6.59,2.2,Healthcare Professional
3.19,2.12,3.94,0.78,0.0,2.48,7.33,1.71,7.83,2.81,Researcher
1.62,1.4,2.45,6.88,0.62,2.42,6.73,3.75,3.95,4.57,Lawyer
4.23,2.23,4.66,2.45,1.23,3.31,5.88,3.44,7.31,4.01,Researcher
2.72,2.96,4.05,6.17,0.68,3.75,5.01,3.12,1.95,6.83,Manager
0.79,1.82,3.26,7.5,2.05,2.02,6.86,4.25,3.91,4.7,Lawyer
1.31,1.13,3.85,8.47,0.27,3.15,4.1,4.72,0.47,4.87,Manager
1.42,7.86,2.62,1.42,0.99,2.03,1.73,1.65,2.5,3.35,Designer
2.56,8.58,1.29,1.12,1.04,1.72,3.84,0.16,1.8,0.3,Designer
0.65,1.89,2.67,6.24,2.79,2.85,8.19,2.72,2.97,4.93,Lawyer
0.43,2.9,3.84,8.01,2.52,1.45,3.89,4.79,1.16,6.33,Manager
3.74,4.09,5.88,3.4,7.71,0.79,1.89,1.95,3.75,2.14,Engineer
5.18,2.62,7.32,3.12,0.0,1.59,3.77,1.25,2.75,2.82,Analyst
7.56,2.07,5.93,1.8,1.93,0.54,1.76,0.62,2.6,2.34,Developer
1.1,2.21,3.56,7.22,1.22,2.95,3.98,4.49,2.96,7.37,Manager
4.26,0.88,6.66,1.92,6.84,1.89,3.05,2.93,5.33,4.14,Engineer
1.63,1.81,2.52,6.04,7.22,2.61,3.31,4.24,2.69,3.66,Sports Professional
0.63,1.83,3.79,6.6,0.0,2.44,5.01,4.43,1.59,6.64,Manager
0.79,2.48,1.4,4.36,2.29,6.5,5.08,6.27,2.58,2.3,Educator
2.57,2.68,4.97,4.99,1.34,5.29,2.14,8.61,3.91,3.17,Educator
2.36,2.68,2.34,8.1,1.34,2.55,4.44,4.91,4.43,6.43,Manager
6.35,3.29,6.09,1.41,2.66,0.04,0.63,0.88,2.96,2.22,Developer
1.59,4.17,1.76,1.83,1.2,8.11,1.58,3.32,6.56,1.38,Healthcare Professional
2.53,2.1,7.24,2.92,8.1,0.05,1.66,1.85,2.73,1.49,Engineer
4.92,2.14,8.61,2.89,0.49,0.0,2.79,2.93,3.15,4.53,Analyst
1.98,7.8,2.05,1.46,1.19,0.0,3.38,2.27,1.3,3.21,Designer
6.04,2.83,7.99,3.15,2.3,2.47,3.51,2.96,2.53,3.15,Analyst
4.3,1.81,9.51,3.23,3.23,1.05,2.92,0.8,2.77,6.21,Analyst
2.2,3.19,4.56,2.64,0.95,4.02,5.47,2.3,8.42,4.17,Researcher
4.42,2.6,7.47,1.56,6.52,0.18,2.12,3.39,4.93,0.92,Engineer
2.95,1.3,2.91,6.53,1.73,3.33,9.6,4.1,4.44,4.52,Lawyer
0.91,1.58,1.89,4.59,8.91,3.58,2.3,6.58,1.36,1.28,Sports Professional
1.7,7.54,2.13,2.69,3.64,2.24,3.54,1.54,1.08,1.56,Designer
0.12,2.01,2.41,3.89,8.33,2.97,1.96,3.89,2.9,1.65,Sports Professional
0.23,0.91,2.65,5.33,7.43,2.78,2.04,6.13,2.06,1.62,Sports Professional
1.31,1.34,3.46,5.31,0.0,0.89,9.11,3.17,5.01,4.56,Lawyer
1.58,1.38,0.71,4.73,0.0,2.19,8.97,1.8,3.31,4.85,Lawyer
0.0,1.03,1.59,6.15,1.16,1.62,7.52,5.09,5.2,4.59,Lawyer
1.64,2.47,3.69,3.14,0.75,5.05,4.89,6.63,3.67,1.66,Educator
0.43,2.1,3.64,3.0,0.36,9.54,2.31,6.44,6.59,2.31,Healthcare Professional
4.79,1.07,6.73,2.25,0.05,1.07,1.93,0.35,4.42,3.33,Analyst
4.67,3.43,7.33,1.95,1.28,1.92,3.4,1.84,1.74,3.67,Analyst
1.8,2.28,4.98,4.84,0.41,0.46,7.0,1.91,4.03,4.79,Lawyer
1.58,2.29,3.01,3.84,0.97,5.17,1.42,8.66,1.53,1.71,Educator
7.92,3.71,5.97,1.41,3.05,1.8,2.52,0.35,1.84,2.26,Developer
1.78,8.4,2.53,2.01,1.99,0.77,3.9,2.89,0.79,0.53,Designer
1.15,3.42,1.52,3.76,6.41,3.67,1.49,5.64,2.22,2.2,Sports Professional
2.29,2.51,3.04,6.56,0.0,2.89,4.11,4.69,1.26,5.18,Manager
2.02,0.85,2.63,1.98,0.91,7.31,4.02,4.59,5.53,3.47,Healthcare Professional
1.75,8.53,2.25,3.65,0.12,1.39,1.68,2.54,0.54,1.81,Designer
1.74,1.29,5.49,4.71,1.72,7.59,5.32,3.03,5.95,2.52,Healthcare Professional
2.0,7.04,0.87,1.1,0.85,1.83,1.78,3.57,2.92,2.23,Designer
1.61,2.93,2.38,4.34,1.42,3.98,3.32,8.88,2.78,2.67,Educator
3.03,3.79,4.09,8.27,1.23,2.33,2.56,4.43,1.21,6.75,Manager
5.65,1.94,7.56,2.81,3.87,2.71,3.63,1.18,3.63,3.77,Analyst
1.12,2.34,2.7,4.52,3.73,8.21,2.99,4.95,6.49,2.89,Healthcare Professional
1.43,1.9,0.58,4.05,9.18,3.26,2.04,4.15,1.59,2.99,Sports Professional
2.56,0.59,3.01,6.55,0.07,2.52,8.95,3.21,3.73,6.62,Lawyer
2.18,2.09,2.75,3.91,1.12,4.5,4.4,8.67,2.16,2.3,Educator
2.2,3.11,2.15,3.84,7.62,3.19,2.98,5.01,2.87,3.08,Sports Professional
6.39,2.95,5.08,1.4,3.38,0.0,2.23,1.92,3.98,2.09,Developer
